domain,path,type,media_name,state_abbr,countyFIPS,is_local_news_site
suffolknewsherald.com,,newspaper,Suffolk News-Herald,VA,51800,
salamancapress.com,,newspaper,The Salamanca Press,NY,36009,
oleantimesherald.com,,newspaper,Olean Times-Herald,NY,36009,
macombdaily.com,,newspaper,Macomb Township Chronicle,MI,26099,
amny.com,,newspaper,amNYmetro,NY,36047,
newsday.com,,newspaper,Newsday,NY,36103,
cambridgeday.com,,newspaper,Cambridge Day,MA,25017,
canarsiecourier.com,,newspaper,Canarsie Courier,NY,36047,
cobleskilltimesjournal.com,,newspaper,Times-Journal,NY,36095,
saratogatodaynewspaper.com,,newspaper,Saratoga Today,NY,36091,
henningadvocate.com,,newspaper,Citizen's Advocate,MN,27111,
browncountypress.com,,newspaper,Brown County Press,OH,39015,
ripleybee.com,,newspaper,Ripley Bee,OH,39015,
bankspost.com,,newspaper,Banks Post,OR,41067,
galescreekjournal.com,,newspaper,Gales Creek Journal,OR,41067,
chronicle-express.com,,newspaper,The Chronicle-Express,NY,36123,
freepressstandard.com,,newspaper,Free Press Standard,OH,39019,
urbanacitizen.com,,newspaper,Urbana Daily Citizen,OH,39021,
springfieldnewssun.com,,newspaper,Springfield News-Sun,OH,39023,
ardmoreite.com,,newspaper,The Daily Ardmoreite,OK,40019,
news-star.com,,newspaper,The Shawnee News-Star,OK,40125,
litchfieldrail.com,,newspaper,The Litchfield Rail,MN,27093,
rainylakegazette.com,,newspaper,Rainy Lake Gazette,MN,27071,
lakecountypress.news,,newspaper,Lake County Press,MN,27075,
tricountynewsmn.com,,newspaper,Cottonwood Tri-County News,MN,27083,
hutchinsonstation.com,,newspaper,The Hutchinson Station,MN,27085,
redwoodfallsgazette.com,,newspaper,The Redwood Falls Gazette,MN,27127,
stjamesnews.com,,newspaper,St. James Plaindealer,MN,27165,
tricountynews.com,,newspaper,Tri-County News,MN,27145,
oscodaherald.com,,newspaper,Oscoda County Herald,MI,26135,
cookcountynews-herald.com,,newspaper,Cook County News-Herald,MN,27031,
montenews.com,,newspaper,Montevideo American-News,MN,27023,
sleepyeyenews.com,,newspaper,Sleepy Eye Herald-Dispatch,MN,27015,
vandalialeader.com,,newspaper,The Vandalia Leader,MO,29007,
firesideguard.com,,newspaper,Centralia Fireside Guard,MO,29019,
mycouriertribune.com,,newspaper,Courier-Tribune,MO,29047,
boonvilledailynews.com,,newspaper,Boonville Daily News,MO,29053,
granitefallsnews.com,,newspaper,Advocate Tribune,MN,27173,
pikecountynews.com,,newspaper,Pike County News,MO,29163,
moberlymonitor.com,,newspaper,Moberly Monitor-Index,MO,29175,
marshallnews.com,,newspaper,Marshall Democrat-News,MO,29195,
southmissouriannews.com,,newspaper,South Missourian News,MO,29149,
elsberrydemocrat.com,,newspaper,Elsberry Democrat,MO,29113,
lincolncountyjournal.com,,newspaper,Lincoln County Journal,MO,29113,
linncountyleader.com,,newspaper,Linn County Leader,MO,29115,
chillicothenews.com,,newspaper,Constitution-Tribune,MO,29117,
lakegazette.net,,newspaper,Lake Gazette,MO,29127,
hermannadvertisercourier.com,,newspaper,The Hermann Advertiser-Courier,MO,29073,
examiner.net,,newspaper,The Examiner,MO,29095,
ncnewspress.com,,newspaper,The News-Press,NE,31131,
journaldemocrat.com,,newspaper,Syracuse Journal-Democrat,NE,31131,
thegraftonnews.com,,newspaper,The Grafton News,MA,25027,
