scope,url,media_name,media_type,media_focus,language,domain,state_abbr
National,http://www.thenation.com/,Nation,MG,GI,ENG,thenation.com,na
National,http://www.nationaljournal.com/,National Journal,MG,GI,ENG,nationaljournal.com,na
National,http://www.nationalreview.com/,National Review,MG,GI,ENG,nationalreview.com,na
National,http://www.tnr.com/,New Republic,MG,GI,ENG,tnr.com,na
National,http://www.newyorker.com/,New Yorker,MG,GI,ENG,newyorker.com,na
National,http://www.parade.com/,Parade,MG,GI,ENG,parade.com,na
National,https://www.politico.com/magazine/,Politico Magazine,MG,GI,ENG,politico.com,na
National,http://reason.com/,Reason,MG,GI,ENG,reason.com,na
National,http://www.rollcall.com/,Roll Call,MG,GI,ENG,rollcall.com,na
National,http://www.saturdayeveningpost.com/,Saturday Evening Post,MG,GI,ENG,saturdayeveningpost.com,na
National,http://www.time.com/time/,Time,MG,GI,ENG,time.com,na
National,http://www.usnews.com/,U.S. News and World Report,MG,GI,ENG,usnews.com,na
National,http://www.usaweekend.com/,USA Weekend,MG,GI,ENG,usaweekend.com,na
National,http://www.vanityfair.com/,Vanity Fair,MG,GI,ENG,vanityfair.com,na
National,http://theweek.com/,Week,MG,GI,ENG,theweek.com,na
National,https://www.americamagazine.org/,America,MG,RL,ENG,americamagazine.org,na
National,http://www.redherring.com/,Red Herring,MG,ST,ENG,redherring.com,na
National,http://www.scientificamerican.com/,Scientific American,MG,ST,ENG,scientificamerican.com,na
National,https://www.thetechnologyheadlines.com/,The Technology Headlines,MG,ST,ENG,thetechnologyheadlines.com,na
National,http://www.wired.com/,Wired,MG,ST,ENG,wired.com,na
National,https://www.si.com/,Sports Illustrated,MG,SP,ENG,si.com,na
National,http://bbjonline.com/,Black Business Journal,NP,BU,ENG,bbjonline.com,na
National,http://www.investors.com/default.htm,Investor's Business Daily,NP,BU,ENG,investors.com,na
National,https://www.wsj.com/,Wall Street Journal,NP,BU,ENG,wsj.com,na
National,http://www.variety.com/Home/,Variety,NP,EN,ENG,variety.com,na
National,http://www.bulgariasega.com/,Bulgaria Sega,NP,ET,BUL,bulgariasega.com,na
National,http://www.vivelohoy.com/,Hoy,NP,ET,SPA,vivelohoy.com,na
National,http://www.indiancountrytoday.com/,Indian Country Today,NP,ET,ENG,indiancountrytoday.com,na
National,http://www.nativetimes.com/,Native American Times,NP,ET,ENG,nativetimes.com,na
National,http://www.indiancountrynews.com/,News from Indian Country,NP,ET,ENG,indiancountrynews.com,na
National,http://www.polamjournal.com/,Polish American Journal,NP,ET,ENG,polamjournal.com,na
National,http://www.meridianul.com/,Romanian Meridian,NP,ET,RON,meridianul.com,na
National,http://www.singtaousa.com/,Sing Tao,NP,ET,ZHO,singtaousa.com,na
National,http://www.worldjournal.com/wjenglishnews,World Journal,NP,ET,ENG,worldjournal.com,na
National,http://www.worldjournal.com/,World Journal,NP,ET,ZHO,worldjournal.com,na
National,http://americanfreepress.net/,American Free Press,NP,GI,ENG,americanfreepress.net,na
National,http://www.examiner.com/,Examiner,NP,GI,ENG,examiner.com,na
National,http://www.theguardian.com/us,Guardian,NP,GI,ENG,theguardian.com,na
National,http://www.nytimes.com/,New York Times,NP,GI,ENG,nytimes.com,na
