classification,class_2,local_regional,domain,name,state,website,twitter,youtube,facebook,owner,medium,collection_date,source
local,local,1,aberdeennews.com,aberdeen american news,SD,http://www.aberdeennews.com,aberdeennews,http://www.youtube.com/user/AberdeenAmericanNews,https://www.facebook.com/theaberdeennews/,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,abilene-rc.com,reflector-chronicle,KS,http://www.abilene-rc.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,aboutstark.com,about stark,OH,http://www.aboutstark.com,AboutStark,,https://www.facebook.com/aboutstark,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,abovethelaw.com,,,,,,,,,,
regional,local-regional,1,abqjournal.com,albuquerque journal ,NM,https://www.abqjournal.com,abqjournal,http://www.youtube.com/user/albuquerquejournal,https://www.facebook.com/TheAlbuquerqueJournal,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
regional,local-regional,1,abqjournal.com,rio rancho news,NM,https://www.abqjournal.com/category/rio-rancho-news,abqjournal,http://www.youtube.com/user/albuquerquejournal,https://www.facebook.com/TheAlbuquerqueJournal,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
regional,local-regional,1,abqjournal.com,journal north,NM,https://www.abqjournal.com/north,abqjournal,,https://www.facebook.com/TheAlbuquerqueJournal,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,abqthemag.com,albuquerque the magazine,NM,http://www.abqthemag.com,abqthemag,http://www.youtube.com/user/ABQTheMag1,https://www.facebook.com/pages/Albuquerque-The-Magazine/36176037343,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,acadianagazette.net,acadiana gazette,LA,http://acadianagazette.net,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,accesspress.org,access press,MN,http://www.accesspress.org,accesspress,,https://www.facebook.com/accesspress,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,accountingtoday.com,,,,,,,,,,
national,national,0,accuweather.com,,,,,,,,,,
local,local,1,acfreepress.com,adams county free press,IA,http://www.acfreepress.com,,,https://www.facebook.com/pages/Adams-County-Free-Press/118438834855356,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,ack.net,inquirer and mirror,MA,http://www.ack.net,InkyM,https://www.youtube.com/channel/UCpj3gHSgjOZtumjT4pUIvdQ,https://www.facebook.com/pages/The-Nantucket-Inquirer-and-Mirror/255864560765,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,aclj.org,,,,,,,,,,
national,national,0,aclu.org,,,,,,,,,,
local,local,1,actionnewsjax.com,wjax,FL,http://www.actionnewsjax.com/,,,,Bayshore Television,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,actionnewsnow.com,woio,OH,http://www.actionnewsnow.com/,,,,Raycom Media,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,acuoptimist.com,optimist online,TX,http://www.acuoptimist.com,acuoptimist,http://www.youtube.com/user/acuvideo,http://www.facebook.com/acuoptimist,,College Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,adage.com,,,,,,,,,,
local,local,1,adaherald.com,ada herald,OH,http://www.adaherald.com,,,https://www.facebook.com/pages/The-Ada-Herald/163108437070630,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,adaircountyfreepress.com,adair county free press,IA,http://adaircountyfreepress.com,,,https://www.facebook.com/pages/Adair-County-Free-Press/111587408885341,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,adairprogress.com,adair progress,KY,http://www.adairprogress.com,AdairProgress,,https://www.facebook.com/pages/The-Adair-Progress/302781669834512,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,adairvoice.com,adair county community voice,KY,http://adairvoice.com,Adairvoice,,https://www.facebook.com/adaircountycommunityvoice,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,adamsc.com,adams county journal,PA,http://adamsc.com,,,https://www.facebook.com/adamscountyjournal,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,addisonindependent.com,addison co. independent,VT,http://www.addisonindependent.com,addyindy,https://www.youtube.com/user/addisonindependent/videos,https://www.facebook.com/AddisonIndependent,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,adelnews.com,dallas county news,IA,http://adelnews.com,DallasCoNews,http://www.youtube.com/user/DallasCountyNews,https://www.facebook.com/DallasCountyNews,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local-regional,1,adirondackdailyenterprise.com,adirondack daily enterprise,NY,http://www.adirondackdailyenterprise.com,,,https://www.facebook.com/AdkEnterprise,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,adirondackexpress.com,adirondack express,NY,http://www.adirondackexpress.com,adirondackexprs,,https://www.facebook.com/pages/Adirondack-Express/353352331908,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
regional,local-regional,1,adn.com,alaska dispatch news,AK,http://www.adn.com,adndotcom,https://www.youtube.com/user/AlaskaDispatch,https://www.facebook.com/akdispatch,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
national,national,0,advances.sciencemag.org,,,,,,,,,,
