domain,target_community
monroefreepress.net,Black
muslimcommunityreport.com,Black
senegambiaparrot.com,Black
newyorkparrot.com,Black
newsone.com,Black
noiseomaha.com,Black
nolafi.com,Black
nlcn.org,Black
northendagents.com,Black
notedd.com,Black
nyiha.com,Black
okayafrica.com,Black
okayplayer.com,Black
parkchestertimes.com,Black
pasadenajournal.com,Black
phxsoul.com,Black
thepluggedapp.com,Black
thedrumnewspaper.info,Black
postnewsgroup.com,Black
powerpointe.net,Black
pridemagazineonline.com,Black
publicintellectuals.org,Black
publicsq.org,Black
pulsebeatmedia.com,Black
purenews.com,Black
pushblack.us,Black
pwperspective.com,Black
queerency.com,Black
thebeatdfw.com,Black
radiosoleil.com,Black
rebelliousmagazine.com,Black
richmondpulse.org,Black
runtanews.com,Black
rwebel.com,Black
sacculturalhub.com,Black
sahanjournal.com,Black
sdmonitornews.com,Black
sunreportermedia.com,Black
sapelosquare.com,Black
savannahherald.net,Black
scalawagmagazine.org,Black
scoopusamedia.com,Black
seasidepost-california.com,Black
sesimag.com,Black
shadowandact.com,Black
sunweeklynews.com,Black
sohh.com,Black
scblackmediagroup.com,Black
southseattleemerald.com,Black
southerndallasmagazine.com,Black
soznews.org,Black
streethypenewspaper.com,Black
supercreator.news,Black
swagheronline.com,Black
temponewsflorida.com,Black
theacphoenixnews.com,Black
thereporternewspaperonline.com,Black
theaswg.com,Black
blacklensnews.com,Black
bowiesun.com,Black
charlestonchronicle.net,Black
thecharlottevoice.com,Black
thechocolatevoice.com,Black
thechundriashow.com,Black
theclevelandobserver.com,Black
columbuspost.com,Black
homestead.com,Black
thecommunityvoice.com,Black
etenlightener.com,Black
theeducatorsroom.com,Black
fayettevillepress.com,Black
haitiantimes.com,Black
theinformedvillage.com,Black
thejacksonblazer.com,Black
theliveexchangeradio.com,Black
estlmonitor.com,Black
monroedispatchonline.com,Black
tncpnews.com,Black
neworleansagenda.com,Black
thenewarktimes.com,Black
thenubiannews.com,Black
thenumberz.fm,Black
theoklahomaeagle.net,Black
onmenews.com,Black
philadelphiaobserver.com,Black
pgpost.com,Black
theprovamnews.com,Black
therealdealpress.com,Black
theroot.com,Black
theurbannews.com,Black
theurbanvoice.com,Black
voicenewspaper.com,Black
warrenist.com,Black
thegrio.com,Black
thetoledojournal.com,Black
translash.org,Black
trapital.co,Black
travelnoire.com,Black
thetremag.com,Black
trentonjournal.com,Black
unityfirst.com,Black
unpopcultr.co,Black
urbanagingnews.com,Black
uaotv.com,Black
majicatl.com,Black
kysdc.com,Black
hiphopnc.com,Black
urbangeekz.com,Black
vfpress.news,Black
wetalkweekly.com,Black
brweeklypress.com,Black
westsidestorynewspaper.com,Black
whatsupkansascity.net,Black
gowhereitzat.com,Black
whetstonemagazine.com,Black
whur.com,Black
wilmingtonjournal.com,Black
windycityword.com,Black
radiokingston.org,Black
gullahradio.net,Black
wordinblack.com,Black
wovu.org,Black
thebeatofthecapital.com,Black
wtal1450.com,Black
wurdradio.com,Black
ztwins.com,Black
zethiopia.com,Black
africainharlem.nyc,Black
capitaloutlook.com,Black
haitiprogres.com,Black
hoopfeed.com,Black
gainformer.com,Black
thecommunitypressfla.org,Black
orlando-times.com,Black
tpinsights.com,Black
franklymedia.com,Black
latino-news.com,Hispanic
alabamatv.info,Hispanic
telemundoalaska.com,Hispanic
azbilingual.com,Hispanic
lavozarizona.com,Hispanic
contactototalradio.com,Hispanic
panoramaaz.com,Hispanic
hola-arkansas.com,Hispanic
ellatinoarkansas.com,Hispanic
laprensanwa.com,Hispanic
elsoldesalinas.com,Hispanic
univision39.com,Hispanic
telemundo51fresno.com,Hispanic
vidaenelvalle.com,Hispanic
oooraleusa.com,Hispanic
1020am.com,Hispanic
laprensa-sandiego.org,Hispanic
elreporterosf.com,Hispanic
kbbf-fm.org,Hispanic
tamarindopodcast.com,Hispanic
foxdeportes.com,Hispanic
latinojournal.net,Hispanic
elvalledelostercos.com,Hispanic
kiqi1010am.com,Hispanic
hnmagazine.com,Hispanic
americanlatino.tv,Hispanic
noticiasya.com,Hispanic
elpopularnews.com,Hispanic
laprensahispananewspaper.com,Hispanic
excelsiorcalifornia.com,Hispanic
libsyn.com,Hispanic
podbean.com,Hispanic
cocolatv.com,Hispanic
diaadianews.com,Hispanic
impulsonews.info,Hispanic
latinola.com,Hispanic
voicesofmontereybay.org,Hispanic
espn1600am.com,Hispanic
laprensapopular.com,Hispanic
latina1023.com,Hispanic
quepasanoticias.com,Hispanic
telemundocharlotte.com,Hispanic
latino4u.net,Hispanic
elinformador.us,Hispanic
latinxtoday.com,Hispanic
lanacionhispana.com,Hispanic
elsemanariocolorado.com,Hispanic
lavozcolorado.com,Hispanic
elcomerciocolorado.com,Hispanic
postlatino.com,Hispanic
tribunaenespanol.com,Hispanic
espn.com,Hispanic
ellatinodigital.com,Hispanic
laprensafl.com,Hispanic
ellatino.com,Hispanic
azteca48.com,Hispanic
aztecaamerica.com,Hispanic
americahoy.net,Hispanic
surflorida.com,Hispanic
libertadnews.com,Hispanic
diariopalmbeach.com,Hispanic
laguianews.com,Hispanic
denorteasur.com,Hispanic
oncubanews.com,Hispanic
fusion.tv,Hispanic
lavisionnewspaper.com,Hispanic
mundohispanico.com,Hispanic
miradamagazine.com,Hispanic
idahonoticias.com,Hispanic
eldianewschicago.com,Hispanic
laraza.com,Hispanic
borderlessmag.org,Hispanic
ciceroindependiente.com,Hispanic
lavozdeindiana.com,Hispanic
quepasapodcast.com,Hispanic
telemundoindy.com,Hispanic
laolalatinaindy.com,Hispanic
wfhb.org,Hispanic
lavozdeiowa.com,Hispanic
conexionlatinaiowa.com,Hispanic
vivaiowa.com,Hispanic
holaiowa.com,Hispanic
mirazamagazine.com,Hispanic
laesquina.live,Hispanic
lavozky.com,Hispanic
laprensaky.com,Hispanic
aldiaea.net,Hispanic
lexingtoncommunityradio.org,Hispanic
eltiemponola.com,Hispanic
prensalibremd.com,Hispanic
latinatolatina.com,Hispanic
vocerohispano.com,Hispanic
laprensatoledo.com,Hispanic
elvocerous.com,Hispanic
lavozweb.com,Hispanic
nuestrodetroit.com,Hispanic
lamatracamagazine.com,Hispanic
telemundomn.com,Hispanic
noticiasmn.com,Hispanic
laconexionlatina.com,Hispanic
laraza1400.com,Hispanic
diario-digital.com,Hispanic
enyemagazine.com,Hispanic
lobo977.com,Hispanic
mundolatinonetwork.com,Hispanic
buenosdiasnebraska.com,Hispanic
radiolavozdenevada.com,Hispanic
eltiempolv.com,Hispanic
elsolreno.com,Hispanic
noticieromovil.com,Hispanic
elreporterolasvegas.com,Hispanic
lavozhispanadenevada.com,Hispanic
latinoswholunch.com,Hispanic
rayspodcast.com,Hispanic
cambionewspaper.com,Hispanic
reportehispano.com,Hispanic
ahoranews.net,Hispanic
elespecial.com,Hispanic
thebilingualnews.com,Hispanic
noticiali.com,Hispanic
elaguilanews.com,Hispanic
latinousa.org,Hispanic
latinorebels.com,Hispanic
diariodemexicousa.com,Hispanic
peopleenespanol.com,Hispanic
latina.com,Hispanic
nytaxivoice.com,Hispanic
lavozhispanany.com,Hispanic
iblnews.com,Hispanic
peruanosnews.com,Hispanic
tuprensalocal.com,Hispanic
lagaleriamag.com,Hispanic
hola.com,Hispanic
voicelatina.com,Hispanic
latindispatch.com,Hispanic
livinamericana.com,Hispanic
newyorkhispano.net,Hispanic
lamegamedia.com,Hispanic
elsoldeohio.com,Hispanic
lavanguardiahoy.com,Hispanic
vocerolatinonews.com,Hispanic
aldiamedia.com,Hispanic
ohiolatinotv.com,Hispanic
okspanishnews.com,Hispanic
radiomovimiento.com,Hispanic
tildenoticias.com,Hispanic
ellatinodehoy.com,Hispanic
elementolatino.net,Hispanic
aldianews.com,Hispanic
el-hispano.com,Hispanic
80grados.net,Hispanic
elexpresso.com,Hispanic
elvocero.com,Hispanic
presenciapr.com,Hispanic
elorientalpr.net,Hispanic
elnuevodia.com,Hispanic
primerahora.com,Hispanic
noticel.com,Hispanic
periodismoinvestigativo.com,Hispanic
telemundopr.com,Hispanic
wapa.tv,Hispanic
claridadpuertorico.com,Hispanic
bandera.org,Hispanic
nelpr.com,Hispanic
noticiasprtv.com,Hispanic
sincomillas.com,Hispanic
periodicolasemana.net,Hispanic
periodicolaperla.com,Hispanic
periodicovision.com,Hispanic
lacallerevista.com,Hispanic
laislaoeste.com,Hispanic
wipr.pr,Hispanic
wrtu.pr,Hispanic
waloradio.com,Hispanic
waparadiopr.com,Hispanic
notiuno.com,Hispanic
tunoticiapr.com,Hispanic
jornadapr.com,Hispanic
lacordillera.net,Hispanic
elregionalpr.com,Hispanic
wole12.com,Hispanic
noticiassomosponce.net,Hispanic
noticiasdesalinas.com,Hispanic
villalbaonlinepr.com,Hispanic
cumbre1470am.com,Hispanic
victoria840.com,Hispanic
detodopr.com,Hispanic
indicepr.com,Hispanic
unicaradio1230.com,Hispanic
noticiasdeponce.net,Hispanic
eladoquintimes.com,Hispanic
simplecast.fm,Hispanic
caribbeanbusiness.com,Hispanic
newsismybusiness.com,Hispanic
puertoricoreport.com,Hispanic
providenceenespanol.com,Hispanic
lprnoticias.com,Hispanic
elcruceronews.com,Hispanic
netargv.com,Hispanic
aldiadallas.com,Hispanic
elheraldonews.com,Hispanic
lavozhispana.info,Hispanic
elnuevoheraldo.com,Hispanic
elextratx.com,Hispanic
elperiodicousa.com,Hispanic
la920.com,Hispanic
familiaslatinas.com,Hispanic
noblezamagazine.com,Hispanic
univision32.com,Hispanic
elsemanalonline.com,Hispanic
elimparcialnews.com,Hispanic
elmundous.com,Hispanic
kunwtv.com,Hispanic
univisionseattle.com,Hispanic
ntn24.com,Hispanic
latinovations.com,Hispanic
efe.com,Hispanic
spanishjournal.com,Hispanic
miwisconsin.org,Hispanic
cnet.com,Hispanic
latinocalifornia.com,Hispanic
libreonline.com,Hispanic
somosestrella.com,Hispanic
telemundo42.com,Hispanic
somosbaltimorelatino.com,Hispanic
rumbonews.com,Hispanic
lunj.net,Hispanic
hitn.org,Hispanic
nycsportsnews.net,Hispanic
democracynow.org,Hispanic
soyyomag.com,Hispanic
pab550.com,Hispanic
sanjuanweeklypr.com,Hispanic
twhispanicnews.com,Hispanic
