domain,target_community
vocerolatino.com,Hispanic
blackgirlincle.com,Black
thecincinnatiherald.com,Black
thetruthtoledo.com,Black
buckeyereview.org,Black
lavanguardia.com,Hispanic
nuestracomunidad.org,Hispanic
blackchronicle.com,Black
ellatinoamerican.com,Hispanic
elnacionaldeoklahoma.com,Hispanic
theokeagle.com,Black
lasemanadelsur.com,Hispanic
lasamericas1380am.com,Hispanic
theblackwallsttimes.com,Black
latinmedianw.com,Hispanic
kunptv.com,Hispanic
theskanner.com,Black
portlandobserver.com,Black
newpittsburghcourier.com,Black
telemundo62.com,Hispanic
2puntosplatform.com,Hispanic
philasun.com,Black
scoopnewsusa.com,Black
phillytrib.com,Black
impactomedia.com,Hispanic
acontecerlatino.com,Hispanic
lprnews.org,Hispanic
noticiasrhodeisland.com,Hispanic
laislamagazine.com,Hispanic
informador.mx,Hispanic
universallatinnews.com,Hispanic
nuestroestado.com,Hispanic
communitytimessc.com,Black
carolinapanorama.com,Black
carthagecourier.com,Black
pridepublishinggroup.com,Black
tntribune.com,Black
nashvillenoticias.com,Hispanic
wdkn.com,Black
wojg.com,Black
laprensalatina.com,Hispanic
memphisnoticias.com,Hispanic
tri-statedefender.com,Black
lacampana.us,Hispanic
azteca21.com,Hispanic
kens5.com,Hispanic
telemundosanantonio.com,Hispanic
saobserver.com,Black
northdallasgazette.com,Black
novedadesnews.com,Hispanic
texasmetronews.com,Black
dallasexaminer.com,Black
elliderusa.com,Hispanic
garlandjournal.com,Black
myimessenger.com,Black
dallasposttrib.com,Black
dallasweekly.com,Black
borderzine.com,Hispanic
ktsm.com,Hispanic
telemundo48elpaso.com,Hispanic
easttexasreview.com,Black
elvenezolanohouston.com,Hispanic
defendernetwork.com,Black
forwardtimes.com,Black
stylemagazine.com,Black
prensadehouston.com,Hispanic
indoamerican-news.com,Asian
queondamagazine.com,Hispanic
aframnews.com,Black
telemundohouston.com,Hispanic
entravision.com,Hispanic
latinolubbock.net,Hispanic
telemundolubbock.com,Hispanic
telemundocc.com,Hispanic
eltejanomagazine.com,Hispanic
telemundodallas.com,Hispanic
telemundoaustin.com,Hispanic
theaustinvillager.com,Black
soulciti.com,Black
elmundonewspaper.com,Hispanic
kazifm.org,Black
laredodaily.news,Hispanic
lmtonline.com,Hispanic
telemundoutah.com,Hispanic
